t	V	DV/V0 in %
8.68	33.0967	-8.06473
8.69	33.0975	-8.06263
8.7	33.0982	-8.06045
8.71	33.0991	-8.05818
8.72	33.0999	-8.05584
8.73	33.1008	-8.05343
8.74	33.1017	-8.05096
8.75	33.1026	-8.04845
8.76	33.1035	-8.04589
8.77	33.1044	-8.0433
8.78	33.1054	-8.04069
8.79	33.1063	-8.03805
8.8	33.1073	-8.03541
8.81	33.1082	-8.03277
8.82	33.1092	-8.03012
8.83	33.1101	-8.0275
8.84	33.111	-8.02489
8.85	33.112	-8.02231
8.86	33.1129	-8.01977
8.87	33.1138	-8.01727
8.88	33.1147	-8.01482
8.89	33.1155	-8.01243
8.9	33.1164	-8.0101
8.91	33.1172	-8.00783
8.92	33.118	-8.00564
8.93	33.1187	-8.00353
8.94	33.1195	-8.00151
8.95	33.1202	-7.99957
8.96	33.1208	-7.99773
8.97	33.1214	-7.99599
8.98	33.122	-7.99435
8.99	33.1226	-7.99281
9	33.1231	-7.99138
9.01	33.1236	-7.99007
9.02	33.124	-7.98887
9.03	33.1244	-7.98778
9.04	33.1247	-7.98682
9.05	33.1251	-7.98597
9.06	33.1253	-7.98524
9.07	33.1255	-7.98463
9.08	33.1257	-7.98414
9.09	33.1258	-7.98377
9.1	33.1259	-7.98352
9.11	33.126	-7.98339
9.12	33.126	-7.98338
9.13	33.1259	-7.98348
9.14	33.1259	-7.98369
9.15	33.1258	-7.98402
9.16	33.1256	-7.98446
9.17	33.1254	-7.985
9.18	33.1252	-7.98564
9.19	33.1249	-7.98638
9.2	33.1246	-7.98722
9.21	33.1243	-7.98815
9.22	33.1239	-7.98916
9.23	33.1235	-7.99026
9.24	33.1231	-7.99143
9.25	33.1226	-7.99268
9.26	33.1222	-7.994
9.27	33.1217	-7.99538
9.28	33.1211	-7.99682
9.29	33.1206	-7.99831
9.3	33.1201	-7.99985
9.31	33.1195	-8.00143
9.32	33.1189	-8.00305
9.33	33.1183	-8.00469
9.34	33.1177	-8.00636
9.35	33.1171	-8.00806
9.36	33.1165	-8.00976
9.37	33.1159	-8.01148
9.38	33.1153	-8.01319
